rank,title,year,worldwide_box_office,domestic_box_office,foreign_box_office,movie_url
1,Avatar,"$2,138,489,059","$2,923,710,708","$785,221,649",26.9%,https://www.boxofficemojo.com/title/tt0499549/?ref_=bo_cso_table_1
2,Avengers: Endgame,"$1,941,066,100","$2,799,439,100","$858,373,000",30.7%,https://www.boxofficemojo.com/title/tt4154796/?ref_=bo_cso_table_2
3,Avatar: The Way of Water,"$1,646,025,119","$2,334,484,620","$688,459,501",29.5%,https://www.boxofficemojo.com/title/tt1630029/?ref_=bo_cso_table_3
4,Ne Zha 2,"$2,244,138,194","$2,267,446,370","$23,308,176",1%,https://www.boxofficemojo.com/title/tt34956443/?ref_=bo_cso_table_4
5,Titanic,"$1,590,458,086","$2,264,812,968","$674,354,882",29.8%,https://www.boxofficemojo.com/title/tt0120338/?ref_=bo_cso_table_5
6,Star Wars: Episode VII - The Force Awakens,"$1,134,647,993","$2,071,310,218","$936,662,225",45.2%,https://www.boxofficemojo.com/title/tt2488496/?ref_=bo_cso_table_6
7,Avengers: Infinity War,"$1,373,599,557","$2,052,415,039","$678,815,482",33.1%,https://www.boxofficemojo.com/title/tt4154756/?ref_=bo_cso_table_7
8,Spider-Man: No Way Home,"$1,106,559,314","$1,921,426,073","$814,866,759",42.4%,https://www.boxofficemojo.com/title/tt10872600/?ref_=bo_cso_table_8
9,Zootopia 2,"$1,438,517,790","$1,866,647,950","$428,130,160",22.9%,https://www.boxofficemojo.com/title/tt26443597/?ref_=bo_cso_table_9
10,Inside Out 2,"$1,045,883,622","$1,698,863,816","$652,980,194",38.4%,https://www.boxofficemojo.com/title/tt22022452/?ref_=bo_cso_table_10
11,Jurassic World,"$1,018,130,819","$1,671,537,444","$653,406,625",39.1%,https://www.boxofficemojo.com/title/tt0369610/?ref_=bo_cso_table_11
12,The Lion King,"$1,118,382,776","$1,662,020,819","$543,638,043",32.7%,https://www.boxofficemojo.com/title/tt6105098/?ref_=bo_cso_table_12
13,The Avengers,"$897,180,626","$1,520,538,536","$623,357,910",41%,https://www.boxofficemojo.com/title/tt0848228/?ref_=bo_cso_table_13
14,Furious 7,"$1,162,335,437","$1,515,342,457","$353,007,020",23.3%,https://www.boxofficemojo.com/title/tt2820852/?ref_=bo_cso_table_14
15,Top Gun: Maverick,"$785,264,265","$1,503,997,086","$718,732,821",47.8%,https://www.boxofficemojo.com/title/tt1745960/?ref_=bo_cso_table_15
16,Avatar: Fire and Ash,"$1,081,659,880","$1,485,951,561","$404,291,681",27.2%,https://www.boxofficemojo.com/title/tt1757678/?ref_=bo_cso_table_16
17,Frozen II,"$976,309,898","$1,453,683,476","$477,373,578",32.8%,https://www.boxofficemojo.com/title/tt4520988/?ref_=bo_cso_table_17
18,Barbie,"$810,900,000","$1,447,138,421","$636,238,421",44%,https://www.boxofficemojo.com/title/tt1517268/?ref_=bo_cso_table_18
